line_index,full_address,lat,lon
169,"14 RACECOURSE ROAD, RUTHERFORD, NSW 2320, Australia",-32.7114796,151.5154805
170,"3 BRICKWORKS LANE, SOUTH GRAFTON, NSW 2460, Australia",-29.7359861,152.9394246
171,"46-48 QUEEN STREET, GULGONG, NSW 2852, Australia",-32.3620062,149.5342814
172,"1A MORTIMER PLACE, WAGGA WAGGA, NSW 2650, Australia",-35.1228493,147.3461748
173,"76 HOPE ST, WARIALDA, NSW 2402, Australia",-29.5410684,150.5767306
174,"147 FULLERTON STREET, STOCKTON, NSW 2295, Australia",-32.9063335,151.7807429
175,"PO BOX 653/93 KIRKHAM ROAD, BOWRAL, NSW 2576, Australia",-34.4821703,150.4128826
176,"DNU, DNU, NSW 1111, Australia",-31.2532183,146.921099
177,"73 QUEEN STREET, BARRABA, NSW 2347, Australia",-30.3805686,150.6097766
178,"9 MINGELO STREET, PEAK HILL, NSW 2869, Australia",-32.7242272,148.1898606
179,"68 KEEN STREET PO. BOX 1130, LISMORE, NSW 2480, Australia",-28.8067807,153.2803751
180,"51 FORGE STREET, BLACKTOWN, NSW 2148, Australia",-33.7523853,150.9143062
181,"7-9 CAMPBELL STREET, SINGLETON, NSW 2330, Australia",-32.561104,151.172836
182,"145 BRIDGE STREET, TAMWORTH, NSW 2340, Australia",-31.0948132,150.9123608
183,"39 MERIMBULA DRIVE, MERIMBULA, NSW 2548, Australia",-36.8876345,149.9071473
184,"488 GEORGE STREET, SOUTH WINDSOR, NSW 2756, Australia",-33.6171052,150.8083551
185,"UNIT 1, 67 BERRIMA RD, MOSS VALE NSW, 2577",-34.53663239999999,150.3607221
186,"CNR BOURKE & McEVOY STREET, WATERLOO, NSW 2017, Australia",-33.9007881,151.20979
187,"24 LAWSON ROAD, SPRINGWOOD, NSW 2777, Australia",-33.6976091,150.5767451
188,"8 PENINSULA ROAD, VALLEY HEIGHTS, NSW 2778, Australia",-33.7012289,150.582079
189,"102 RAILSIDE AVE, BARGO, NSW 2574, Australia",-34.2918697,150.5794627
190,"208/210 RIVERSTONE PARADE, RIVERSTONE, NSW 2765, Australia",-33.6638208,150.8543343
191,"1/11 YANDALA STREET, TEA GARDENS, NSW 2324, Australia",-32.6457354,152.145917
192,"62 CLARINDA STREET, PARKES, NSW 2870, Australia",-33.1423087,148.1833299
193,"7 MELINZ PL, QUAKERS HILL, NSW 2763, Australia",-33.7249842,150.9071767
194,"6 COMSERVE CLOSE, WEST GOSFORD, NSW 2250, Australia",-33.4139407,151.3240284
195,"UNIT 1, 87 FITZROY STREET, MARRICKVILLE NSW, 2204",-33.9078957,151.1678083
196,"9 - 16 ANDRETTI COURT, TRUGANINA, VIC 3029, Australia",-37.8071773,144.743709
197,"62 LACHLAN STREET, FORBES, NSW 2871, Australia",-33.3833118,148.0096132
198,"5 MINGARA DRIVE, P.O BOX 8005, TUMBI UMBI NSW, 2261",-33.36328510000001,151.4443592
199,"162 SNOWY MOUNTAINS HWY, TUMUT, NSW 2720, Australia",-35.3016065,148.2026047
200,"934-936 VICTORIA ROAD, WEST RYDE, NSW 2114, Australia",-33.8100062,151.0930561
201,"UNIT 6, 17 STANTON ROAD, SEVEN HILLS NSW, 2147",-33.7705035,150.9530756
202,"UNIT 1, 28-34 ORANGE GROVE ROA, LIVERPOOL NSW, 2170",-33.909257,150.920756
203,"100 PRINCES HWY, FIGTREE, NSW 2525, Australia",-34.4388692,150.8570288
204,"UNIT 1, 11 MILL ROAD, CAMPBELLTOWN NSW, 2560",-34.0523044,150.8213792
205,"PO BOX 257, WENTWORTHVILLE, NSW 2145, Australia",-33.8072579,150.9692876
206,"23 SCENIC DRIVE, DOYALSON, NSW 2262, Australia",-33.2027892,151.5241893
207,"25 Pacific Hwy, GATESHEAD, NSW 2290, Australia",-32.9862272,151.6919987
208,"52 Campbell Street, BLACKTOWN, NSW 2148, Australia",-33.7722891,150.909654
209,"UNIT 1, 124 HAM STREET, SOUTH WINDSOR NSW, 2756",-33.6258795,150.8132392
210,"12 EMILY STREET, MORTLAKE, NSW 2137, Australia",-33.845155,151.108456
211,"38 HILL STREET, URALLA, NSW 2358, Australia",-30.640585,151.500272
212,"4 EMERALD STREET (P.O BOX 570), EAST MAITLAND, NSW 2323, Australia",-32.7461391,151.5801342
213,"108W FITZROY STREET, WALCHA, NSW 2354, Australia",-30.9840961,151.5874778
214,"102 FOX STREET, WALGETT, NSW 2832, Australia",-30.0247898,148.1157157
215,"297 WATKINS ROAD, WANGI WANGI, NSW 2267, Australia",-33.0700397,151.5879799
216,"350 - 356 Hoxton Park Road, PRESTONS, NSW 2170, Australia",-33.9278867,150.8832937
